,Title,Job Type,Company Name,Company Industry,Company City,Company Country,Salary Avg,Salary Min,Salary Max,Experience,Min Experience,Max Experience,Skills,Published
117,Policy and Quality Assurance Banking (Amar Bank's Product),Full-time,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Risk Management', 'Analytics', 'Analytics & Reporting', 'Business Analysis', 'Risk Analysis', 'Analytical Skills']",2021-12-14 06:13:48
118,DBA Engineer,Full-time,Indocyber Global Teknologi,IT & Cybersecurity,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Microsoft SQL Server', 'SQL Server', 'Big Data', 'PostgreSQL', 'Business Intelligence']",2021-12-14 02:40:00
119,Head of Business  Intelligence,Full-time,Youtap Indonesia,Financial product comparison,Jakarta,Indonesia,27500000,20000000,35000000,4-7,4,7,"['Data Warehouse', 'Data Visualization', 'Data Science', 'Big Data', 'Data Analysis']",2021-12-11 10:34:35
120,Head of Risk,Full-time,Halodoc ID,Health & Wellness,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Risk Management', 'Python', 'SQL', 'R', 'Risk Analysis']",2021-12-09 17:51:43
121,Business Intelligence Analyst ,Full-time,Aplikasi Super,Ecommerce logistics,Surabaya,Indonesia,6500000,5000000,8000000,1-4,1,4,"['Statistics', 'Data Visualization', 'Python', 'SQL', 'R', 'Business Intelligence', 'Tableau', 'Data Analysis']",2021-12-09 16:19:00
122,Senior Lead Business Analyst,Full-time,JAC Recruitment Indonesia,Human Resource,Jakarta,Indonesia,22500000,20000000,25000000,7-10,7,10,"['MySQL', 'Investment Banking', 'Data Warehouse', 'Data Science', 'Business Analysis', 'Data Management', 'Big Data', 'Data Analysis', 'Project Management']",2021-12-09 02:32:50
123,Digital Marketing,Full-time,HD Car Care Indonesia,Automotive,Jakarta,Indonesia,4500000,4000000,5000000,1-4,1,4,"['Marketing Strategy', 'Content Marketing', 'Digital Marketing', 'Communication Skills', 'Marketing', 'Marketing Communications']",2021-12-08 02:58:55
124,Marketplace Performance Manager,Full-time,KIQANI,Ecommerce aggregators,Jakarta,Indonesia,12500000,10000000,15000000,1-4,1,4,"['Digital Marketing', 'Marketing', 'Project Management']",2021-12-06 12:57:51
125,Digital Marketing Lead,Full-time,iSeller,Ecommerce seller tools and services,Jakarta,Indonesia,11000000,9000000,13000000,1-4,1,4,"['SEO/SEM', 'Digital Marketing', 'Digital Strategy', 'SEO']",2021-12-06 06:44:19
126,Business Analyst,Full-time,TIXid,Digital Entertainment,Jakarta,Indonesia,9000000,6000000,12000000,1-4,1,4,"['Business Development & Partnerships', 'Product Marketing', 'Marketing Strategy', 'Competitive Analysis', 'Market Research & Analysis', 'Business Analysis', 'New Business Development', 'Business Planning', 'Business Intelligence', 'Marketing', 'Data Analysis', 'Marketing Communications']",2021-11-30 08:17:22
127,Strategy & Operations Assistant Manager,Full-time,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,4-7,4,7,"['Business Operations', 'Strategic Planning', 'Data Visualization', 'Financial Modelling & Valuation', 'Product Strategy', 'Financial Analysis', 'Business Strategy', 'Data Analysis', 'Operations', 'Financial Management']",2021-11-23 08:12:09
128,Strategy & Operations Assistant Manager (Revenue Ops.),Full-time,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,4-7,4,7,"['Business Operations', 'Data Visualization', 'Financial Modelling & Valuation', 'Operations Management', 'Financial Analysis', 'Data Analysis', 'Financial Management']",2021-11-23 08:11:23
129,Business Analyst,Full-time,Andalin,Logistics,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Data Entry', 'Data Science', 'Business Analysis', 'Microsoft Excel', 'Business Strategy', 'Business Intelligence', 'Communication Skills', 'Data Analysis']",2021-11-23 03:07:39
130,Estimator Konstruksi,Full-time,MyRobin Indonesia,Human Resource,Jakarta,Indonesia,5650000,4300000,7000000,1-4,1,4,"['Mechanical Engineering', 'Engineering', 'Electrical Engineering']",2021-11-22 09:46:22
131,Business Intelligence - Large Merchant Analyst,Full-time,BukuKas,Financial accounting and admin,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Competitive Analysis', 'Analytics', 'Market Research & Analysis', 'Analytics & Reporting', 'Business Analysis', 'Risk Analysis', 'Financial Analysis', 'Analytical Skills', 'Statistical Analysis', 'Data Analysis']",2021-11-22 09:46:11
132,Business Intelligence - Operations Analyst,Full-time,BukuKas,Financial accounting and admin,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Logistics', 'Competitive Analysis', 'Analytics', 'Analytics & Reporting', 'Business Analysis', 'Analytical Skills', 'Statistical Analysis', 'Data Analysis']",2021-11-22 09:36:46
133,Digital Marketing Analyst,Full-time,Sribu.com,Designers,Jakarta,Indonesia,6250000,5000000,7500000,1-4,1,4,"['Attention to Detail', 'Email Marketing', 'Facebook Advertising', 'Time Management', 'Google Analytics', 'Analytical Skills', 'Communication Skills', 'Sales & Marketing']",2022-01-12 02:12:13
134,Analyst,Full-time,Danabijak,"Lending, loans, and credit",Jakarta,Indonesia,7500000,5000000,10000000,1-4,1,4,"['Analytics', 'Python', 'Analytics & Reporting', 'Business Analysis', 'SQL', 'R', 'Economics', 'Microsoft Excel', 'Financial Analysis', 'Analytical Skills', 'Information Technology', 'Tableau']",2022-01-10 03:33:23
135,Frontend Lead,Full-time,Delman.io,Data Science,Jakarta,Indonesia,22500000,20000000,25000000,4-7,4,7,"['Software Architecture', 'Javascript', 'SQL', 'Front-end Development']",2022-01-10 10:53:52
136,Customer Success Specialist,Full-time,TurnkeyID,Big Data,Yogyakarta,Indonesia,2500000,2000000,3000000,1-4,1,4,"['Problem Solving', 'Microsoft Excel', 'Communication Skills']",2021-12-17 05:16:53
137,General Affairs - Internship  ,Internship,TurnkeyID,Big Data,Tangerang,Indonesia,1000000,750000,1250000,0-1,0,1,"['Agile', 'Data Entry', 'Analytics & Reporting', 'Microsoft Excel', 'English Language', 'Project Management']",2021-12-09 04:46:38
138,Assistant Social Media,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,3900000,3800000,4000000,0-1,0,1,"['Social Media Marketing', 'Social Media Strategy', 'Social Media', 'Sales & Marketing']",2022-01-10 02:15:51
139,Graphic Designer,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,4150000,3800000,4500000,1-4,1,4,"['Graphic Design', 'Adobe Indesign', 'Adobe Creative Suite', 'Design']",2022-01-07 14:50:14
140,Business Development Assistance,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,3250000,2500000,4000000,0-1,0,1,"['Business Development & Partnerships', 'Business Analysis', 'Digital Marketing', 'Business Development', 'Communication Skills', 'Marketing Communications', 'Negotiation', 'Sales & Marketing']",2022-01-07 04:13:02
141,DevOps ,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,6000000,4500000,7500000,1-4,1,4,"['Jenkins', 'Amazon Web Services (AWS)', 'Golang', 'Node.js', 'Redis']",2021-12-16 04:34:24
142,Backend Developer,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,6000000,4500000,7500000,1-4,1,4,"['MySQL', 'Laravel', 'PHP', 'Python', 'Golang', 'PostgreSQL', 'Node.js', 'MongoDB']",2021-12-14 07:59:43
143,Account Executive,Full-time,BigBox  Telkom,Big Data,Jakarta,Indonesia,7000000,6000000,8000000,1-4,1,4,"['Marketing Strategy', 'Account Management', 'Big Data', 'Information Technology', 'Marketing Communications', 'Sales & Marketing', 'Project Management']",2021-12-08 05:40:21
144,DevOps,Contract,PT Oktagon Global Utama,Web Development,Tangerang,Indonesia,11500000,8000000,15000000,1-4,1,4,"['Databases', 'Amazon Web Services (AWS)', 'Linux', 'APIs', 'Clustering']",2022-01-17 11:05:33
145,System Administrator (DevOps),Full-time,PT WHIM Management Indonesia (Evos E-sports),Entertainment Industry,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Databases', 'DevOps', 'System Administration']",2022-01-12 09:52:53
146,Senior System Analyst,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Technology', 'Programming', 'SQL']",2022-01-12 09:39:44
147,Product Planning & Inventory Control,Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Data Warehouse', 'Logistics', 'Microsoft Excel', 'Planning', 'Operations', 'Retail Management']",2022-01-11 11:08:20
148,Admin Support,Full-time,Bintango,Social Media Platforms,Jakarta,Indonesia,4750000,4000000,5500000,1-4,1,4,"['Data Entry', 'Analytics & Reporting', 'Microsoft Excel']",2022-01-10 12:19:08
149,Business Operation,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Accounting', 'Accounts Payable', 'Account Management', 'System Administration']",2022-01-07 07:05:00
150,QA Engineer / Software Tester,Full-time,HashMicro,SaaS,Jakarta,Indonesia,7000000,5000000,9000000,0-1,0,1,"['Databases', 'Programming', 'Communication Skills']",2022-01-06 09:56:42
151,Oracle Developer,Contract,Indocyber Global Teknologi,IT & Cybersecurity,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Web Development', 'SQL', 'Oracle', 'Software Development']",2022-01-04 09:48:01
152,Inbound Warehouse Coordinator,Full-time,Soyaka AI (Shox),Artificial Intelligence,Bogor,Indonesia,5,5,6,1-4,1,4,"['Data Warehouse', 'Logistics', 'Microsoft Excel', 'Operations']",2021-12-28 04:31:22
153,Business Operation Support,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,6000000,5000000,7000000,1-4,1,4,"['Data Entry', 'Analytics & Reporting', 'Data Analysis', 'Operations']",2021-12-28 02:25:42
154,Order Processing (Warehouse Placement),Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Data Entry', 'Logistics', 'Analytics', 'Microsoft Excel']",2021-12-27 15:22:25
155,Purchasing Admin,Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Data Warehouse', 'Data Management', 'Microsoft Excel', 'Purchasing']",2021-12-21 15:39:04
156,General Affairs Officer,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Entry', 'Data Management', 'Communication Skills']",2021-12-20 14:43:39
157,Digital Content Solution Section Head,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Databases', 'Content Management', 'Content Creation']",2021-12-20 04:53:11
158,Product Manager ,Full-time,OKHOME,Services,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Product Research', 'Market Research & Analysis', 'Data Management', 'Product Management', 'Product Development', 'Data Analysis', 'User Research']",2021-12-16 08:04:30
159,Product Manager,Full-time,Lion Parcel,Logistics,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Management', 'Product Management', 'Communication Skills']",2021-12-16 06:26:20
160,Digital Surveillance - Yogyakarta,Contract,Hangry,Restaurants & Food,Yogyakarta,Indonesia,1783000,1766000,1800000,0-1,0,1,"['Data Entry', 'Analytics', 'Analytics & Reporting', 'Data Management', 'Analytical Skills']",2021-12-15 06:42:45
161,Senior Oracle Developer,Contract,Indocyber Global Teknologi,IT & Cybersecurity,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Databases', 'PHP', 'Web Development', 'SQL', 'Oracle', 'Software Development']",2021-12-15 06:28:11
162,Strategic Initiative Associate,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Visualization', 'Data Management', 'Data Analysis', 'Agile Project Management', 'Project Management']",2021-12-14 11:24:28
163,System Analyst,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Databases', 'Operating Systems', 'Programming', 'Business Analysis', 'SQL', 'System Design']",2021-12-12 10:01:14
164,Head of Project (BINUS Online Learning),Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Data Management', 'Agile Project Management', 'Project Management']",2021-12-10 13:19:31
165,DevOps Engineer,Full-time,PT Xapiens Teknologi Indonesia,IT & Cybersecurity,Tangerang,Indonesia,0,0,0,1-4,1,4,"['Databases', 'DevOps', 'Python', 'Shell Scripting', 'Golang', 'SQL', 'Cloud Computing']",2021-12-10 02:24:42
166,Junior Purchasing Executive,Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Data Warehouse', 'Supply Chain Management', 'Microsoft Excel', 'Purchasing']",2021-12-07 16:37:22
167,Reseller Associate,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Management', 'Sales Support', 'Data Analysis']",2021-11-23 11:18:39
168,Software Engineer (Fresh Graduates),Full-time,PT Solusi Integrasindo,Enterprise Software,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Databases', 'Programming', 'Object-oriented Programming (OOP)']",2022-01-11 07:40:35
169,KOL Admin,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Relational Databases', 'Client Relations', 'Relationship Building', 'Customer Relationship Management']",2022-01-17 07:25:06
170,Product Support,Full-time,Bobobox Indonesia,Hotels & Accomodation,"Bandung, Java",Indonesia,0,0,0,1-4,1,4,"['Big Data', 'A/B Testing', 'Data Analysis']",2022-01-13 09:23:50
171,KOL Management Intern,Internship,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Relational Databases', 'Client Relations', 'Relationship Building', 'Communication Skills']",2021-11-24 09:05:38
172,System Officer,Full-time,PT. Informasi Teknologi Indonesia,Service Providers,Indonesia Bulk Terminal,Indonesia,6000000,5000000,7000000,1-4,1,4,"['MySQL', 'Databases', 'Linux System Administration', 'Linux', 'MongoDB']",2022-01-06 05:35:13
173,Payment & Reporting Lead,Full-time,MyRobin Indonesia,Human Resource,Yogyakarta,Indonesia,3750000,3500000,4000000,1-4,1,4,"['Accounting', 'Data Management', 'Microsoft Excel']",2021-12-21 06:20:43
174,Warehouse Supervisor,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Management', 'Data Warehouse', 'Retail Management']",2021-12-10 07:44:41
175,Inventory Controller,Full-time,Dagangan,B2B ecommerce,Indonesia Bulk Terminal,Indonesia,0,0,0,1-4,1,4,"['SAP', 'Data Warehouse', 'Supply Chain Management', 'Inventory Management', 'Inventory']",2021-12-10 07:30:01
176,IT Application Support,Full-time,PT Erajaya Swasembada Tbk.,Retail (general),Jakarta,Indonesia,1,1,1,1-4,1,4,"['SAP', 'Data Entry', 'Analytics & Reporting']",2021-12-06 09:15:33
177,SAP  IS-H m.e.d. Consultant,Full-time,SabiKerja,Human Resource,Jakarta,Indonesia,50000000,40000000,60000000,1-4,1,4,"['SAP', 'Data Management', 'Project Management']",2021-11-24 08:09:37
178,SAP IS-H Consultant,Full-time,SabiKerja,Human Resource,Jakarta,Indonesia,50000000,40000000,60000000,1-4,1,4,"['SAP', 'Data Management', 'Project Management']",2021-11-24 08:07:00
179,Internship Program: People Development,Internship,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,2500000,2000000,3000000,0-1,0,1,"['Human Resources', 'Data Management', 'Scheduling']",2022-01-17 07:43:14
180,Analytics Engineer,Full-time,99.co,Marketplaces (Property),Jakarta,Indonesia,0,0,0,1-4,1,4,"['SQL', 'Big Data', 'Data Analysis']",2022-01-14 04:15:17
181,Marketing Analytics Associate,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,12500000,10000000,15000000,1-4,1,4,"['Innovation & Growth', 'Data Visualization', 'Analytics', 'SQL', 'Digital Marketing', 'Google Analytics']",2021-12-22 03:59:11
182,Admin Finance,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Corporate Finance', 'Data Entry', 'System Administration']",2021-12-15 10:03:52
183,Lead Software Engineer (4+ years),Full-time,PT Five Jack (Itemku),Marketplaces (miscellaneous niche),Jakarta,Indonesia,37500000,15000000,60000000,4-7,4,7,"['React.js', 'Databases', 'Javascript', 'HTML5 & CSS3', 'REST APIs', 'SQL', 'Javascript Frameworks', 'Training', 'Unit Testing', 'Node.js', 'English Language']",2021-12-13 08:42:07
184,Field Control Tower (Bandung Based),Full-time,Soyaka AI (Shox),Artificial Intelligence,"Bandung, Java",Indonesia,4,3,5,0-1,0,1,"['Problem Solving', 'Data Entry', 'Customer Service', 'Microsoft Excel', 'Analytical Skills', 'Communication Skills', 'Data Analysis']",2021-12-11 18:14:22
185,Email Marketing Specialist,Full-time,Tokocrypto,Financial exchanges,Jakarta,Indonesia,8250000,8000000,8500000,1-4,1,4,"['SEO/SEM', 'Databases', 'Copywriting', 'HTML', 'Google Analytics']",2021-11-23 08:07:00
186,BackEnd Developer,Full-time,Diacon Technologies,Healthcare Services,Jakarta,Indonesia,8750000,5000000,12500000,1-4,1,4,"['React.js', 'Databases', 'Javascript', 'RESTful Services', 'Golang', 'AngularJS', 'NoSQL', 'Angular', 'Node.js']",2022-01-12 11:44:14
187,KOL Executive,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Marketing Strategy', 'Relational Databases', 'Client Relations', 'Relationship Building', 'Customer Relationship Management']",2021-12-21 06:45:05
188,HC Policy & Performance Management Officer,Full-time,PT Erajaya Swasembada Tbk.,Retail (general),Jakarta,Indonesia,388888,123456,654321,0-1,0,1,"['Analytics & Reporting', 'Big Data', 'Microsoft Excel']",2021-12-17 05:45:29
189,Field Research & Development,Full-time,Pandawa Agri Indonesia,Life Sciences,"Kupang, Timor",Indonesia,0,0,0,1-4,1,4,"['Research & Development (R&D)', 'Data Management', 'Data Analysis']",2021-11-29 05:42:47
190,QA Engineer (Manual),Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Selenium', 'Jira', 'Data Analysis', 'Software Testing']",2021-12-30 03:57:07
191,Senior .NET Developer,Full-time,PT. Softorb Technology Indonesia,IT & Cybersecurity,Jakarta,Indonesia,7500000,5000000,10000000,4-7,4,7,"['ASP.NET', 'MySQL', 'Databases', 'Git', 'MVC', 'Object-oriented Programming (OOP)']",2022-01-14 03:30:21
192,Merchandiser,Full-time,Jakmall,Marketplaces (general),Jakarta,Indonesia,5250000,4500000,6000000,1-4,1,4,"['Merchandising', 'Google Analytics', 'Data Analysis']",2022-01-03 07:26:10
193,Fullstack Engineer,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,1-4,1,4,"['React.js', 'MySQL', 'Databases', 'Laravel', 'PHP', 'Python']",2021-12-20 06:09:18
194, Senior Fullstack Engineer,Full-time,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,4-7,4,7,"['React.js', 'MySQL', 'Databases', 'Laravel', 'PHP', 'Python']",2021-12-20 06:06:55
195,Revenue Analyst,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,7500000,5000000,10000000,1-4,1,4,"['Corporate Finance', 'Metrics', 'Data Analysis']",2021-12-15 08:38:26
196,New Launch Associate,Full-time,Raena,B2B ecommerce,Jakarta,Indonesia,8500000,5000000,12000000,1-4,1,4,"['Corporate Finance', 'Merchandising', 'Data Analysis']",2021-12-15 05:07:46
197,People Acquisition Specialist,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Analytics & Reporting', 'Recruiting', 'Data Management']",2021-12-09 08:06:02
198,Product Manager ,Full-time,Qerja,Internet Technology,Jakarta,Indonesia,10500000,9000000,12000000,0-1,0,1,"['Product Management', 'Marketing', 'Data Analysis']",2021-12-01 11:44:09
199,Payment Staff,Full-time,MyRobin Indonesia,Human Resource,Yogyakarta,Indonesia,2750000,2500000,3000000,0-1,0,1,"['Attention to Detail', 'Accounting', 'Data Entry', 'Data Management', 'Microsoft Excel']",2021-12-21 07:17:24
200,Intern E-Commerce Analyst,Part-time,Indopasifik Teknologi Medika Indonesia,Healthcare Services,Jakarta,Indonesia,2050000,1800000,2300000,0-1,0,1,"['E-commerce', 'Statistical Analysis', 'Data Analysis']",2021-12-20 06:33:09
201,(Junior) Business Development Executive,Full-time,Lima,Marketplaces,Jakarta,Indonesia,6500000,5000000,8000000,1-4,1,4,"['Business Development & Partnerships', 'Business Development', 'Data Analysis', 'Sales & Marketing']",2021-12-20 04:23:55
202,DevOps Engineer,Full-time,PT Ako Media Asia - SALT Indonesia,Consulting,Jakarta,Indonesia,9000000,8000000,10000000,1-4,1,4,"['Nginx', 'MySQL', 'Jenkins', 'Data Visualization', 'PostgreSQL']",2022-01-17 12:29:57
203,CRM Operations,Full-time,Mekari (PT. Mid Solusi Nusantara),Enterprise Software,Jakarta,Indonesia,5000000,4000000,6000000,1-4,1,4,"['QA', 'Analytics', 'CRM', 'Data Analysis']",2021-11-23 06:28:52
204,Software Engineer - Backend,Full-time,Ritase,Logistics,Jakarta,Indonesia,10000000,6000000,14000000,1-4,1,4,"['Problem Solving', 'Git', 'Javascript', 'Relational Databases', 'Programming', 'SQL', 'Node.js']",2022-01-04 09:06:57
205,Area Operations Manager,Full-time,Dagangan,B2B ecommerce,Indonesia Bulk Terminal,Indonesia,0,0,0,1-4,1,4,"['Business Operations', 'Team Management', 'Distribution', 'Data Warehouse', 'Logistics', 'Supply Chain Management', 'Operations Management', 'Consumer Products', 'Team Leadership', 'Teamwork', 'Operations']",2022-01-06 07:01:49
206,Lead Product Manager - Bill Payments Indonesia,Full-time,JAC Recruitment Indonesia,Human Resource,Jakarta,Indonesia,65000000,50000000,80000000,4-7,4,7,"['Product Research', 'Technology', 'Product Strategy', 'Data Science', 'Big Data', 'Business Development', 'Product Management', 'Product Development', 'Business Management']",2021-12-13 03:03:24
207,Business Process Analyst Officer,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Business Analysis', 'Business Development', 'Coding', 'Data Analysis']",2021-12-10 10:38:30
208,Quality Assurance (Non Technology Position),Contract,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Analytics', 'Analytics & Reporting', 'Analytical Skills', 'Data Analysis']",2021-12-01 13:25:08
209,Product Manager,Full-time,PT Nusa Satu Inti Arta,Payments and remittance,Jakarta,Indonesia,1,1,2,1-4,1,4,"['Product Research', 'Jenkins', 'Product Strategy', 'Big Data', 'Business Planning', 'Jira', 'Object-oriented Programming (OOP)', 'Product Management', 'Product Design', 'Scrum', 'Agile Project Management']",2022-01-14 04:04:55
210,Product Management Head,Full-time,PT Formasi Agung Selaras (Famous Allstars),Digital Media,Jakarta,Indonesia,16500000,15000000,18000000,4-7,4,7,"['Product Marketing', 'Strategic Planning', 'Product Strategy', 'Data Management', 'Product Management']",2022-01-11 08:38:25
211,Senior Finance & Accounting,Full-time,Payfazz (PT. Payfazz Teknologi Nusantara),Payments and remittance,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Corporate Finance', 'Attention to Detail', 'Accounting', 'Data Entry']",2022-01-10 03:29:54
212,Accounting Internship,Internship,Somethinc - Beautyhaul,Marketplaces,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Attention to Detail', 'Problem Solving', 'Accounting', 'Data Entry', 'Microsoft Excel', 'Analytical Skills', 'Data Analysis']",2022-01-04 04:19:55
213,Community Engagement Officer,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Analytics & Reporting', 'Analytical Skills', 'Communication Skills', 'Data Analysis', 'Project Management']",2021-12-31 06:28:29
214,Community Acquisition Supervisor,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Analytics & Reporting', 'Analytical Skills', 'Data Analysis']",2021-12-31 06:54:49
215,Fullstack Developer,Full-time,Danafix,"Lending, loans, and credit",Yogyakarta,Indonesia,0,0,0,1-4,1,4,"['React.js', 'UI/UX Design', 'HTML+CSS', 'Databases', 'Git', 'Javascript', 'PHP', 'Python', 'REST APIs', 'SQL', 'Github']",2021-12-30 06:12:15
216,eCommerce Analyst (Mama's Choice),Full-time,theAsianparent,Digital Media,Jakarta,Indonesia,7000000,4000000,10000000,0-1,0,1,"['Forecasting', 'Business Analysis', 'Business Development', 'Google Analytics', 'Data Analysis', 'English Language', 'Online Marketing']",2022-01-05 06:25:01
217,E-Commerce Analyst,Full-time,Indopasifik Teknologi Medika Indonesia,Healthcare Services,Jakarta,Indonesia,6000000,5000000,7000000,0-1,0,1,"['E-commerce', 'Competitive Analysis', 'Business Analysis', 'Statistical Analysis', 'Data Analysis']",2021-12-20 06:30:20
218,Business Operation Improvement (Senyumku Team),Full-time,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,0-1,0,1,"['Business Operations', 'Operations Management', 'Market Research & Analysis', 'Business Analysis', 'Data Analysis', 'Project Management']",2021-12-09 13:16:28
219,Business Development Lead,Full-time,Lima,Marketplaces,Jakarta,Indonesia,15000000,12000000,18000000,4-7,4,7,"['Business Development & Partnerships', 'Relationship Building', 'Business Development', 'Customer Relationship Management', 'Data Analysis', 'Sales & Marketing']",2021-12-27 07:57:23
220,HR Executive,Full-time,Lima,Marketplaces,Jakarta,Indonesia,9000000,8000000,10000000,1-4,1,4,"['People Management', 'Accounting', 'Microsoft Office', 'Training', 'Talent Acquisition', 'Data Analysis', 'Payroll']",2021-12-09 08:31:39
221,Credit Risk Management,Full-time,Tunaiku,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Risk Management', 'Analytics', 'Analytics & Reporting', 'Risk Analysis', 'Analytical Skills', 'Data Analysis']",2021-12-12 14:17:46
222,Funding Operations Analyst,Full-time,Amartha,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Process Management', 'Risk Analysis', 'Microsoft Excel', 'Financial Analysis', 'Statistical Analysis', 'Data Analysis']",2022-01-11 12:39:39
223,Senior People Business Partner,Full-time,99.co,Marketplaces (Property),Jakarta,Indonesia,0,0,0,4-7,4,7,"['People Management', 'Human Resources', 'Talent Acquisition', 'Analytical Skills', 'Communication Skills', 'Data Analysis']",2022-01-10 23:33:45
224,Junior Project Manager (B2B Product),Full-time,Inspigo,Audio,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Google Apps', 'Microsoft Office', 'Microsoft Excel', 'Project Leader', 'Analytical Skills', 'Data Analysis', 'Project Management']",2022-01-03 08:33:02
225,Market Analyst Associate,Full-time,Rukita,Marketplaces (Property),Jakarta,Indonesia,6000000,5000000,7000000,1-4,1,4,"['Cold Calling', 'SPSS', 'Market Research & Analysis', 'Real Estate', 'Market Research', 'Data Analysis']",2021-12-22 05:04:48
226,Product Analyst,Full-time,Carro,Marketplaces (automobiles),Jakarta,Indonesia,12500000,10000000,15000000,1-4,1,4,"['Analytics', 'Market Research & Analysis', 'Analytics & Reporting', 'Business Analysis', 'Analytical Skills', 'Data Analysis']",2021-12-12 12:28:50
227,Product Operations Associate,Full-time,Codebrick,Enterprise Software,Jakarta,Indonesia,0,0,0,1-4,1,4,"['E-commerce', 'Problem Solving', 'QA', 'SQL', 'Product Management', 'Analytical Skills', 'Data Analysis', 'Operations']",2021-11-24 06:55:16
228,Group Head of Administration,Full-time,Deliveree Indonesia,Logistics,Jakarta,Indonesia,0,0,0,7-10,7,10,"['Presentation Skills', 'Team Management', 'People Management', 'Human Resources', 'Microsoft Excel', 'Communication Skills', 'Data Analysis', 'Program Management', 'Project Management']",2021-12-28 14:01:19
