,Title,Job Type,Company Name,Company Industry,Company City,Company Country,Salary Avg,Salary Min,Salary Max,Experience,Min Experience,Max Experience,Skills,Published
28,Data Analyst,Full-time,Bibit,Investment tools and platforms,Jakarta,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'Data Visualization', 'Python', 'Business Analysis', 'Big Data', 'Business Development', 'Communication Skills', 'Data Analysis']",2021-12-27 12:52:45
29,Data Analyst,Full-time,RateS,Ecommerce seller tools and services,Jakarta,Indonesia,18500000,12000000,25000000,4-7,4,7,"['Relational Databases', 'Data Visualization', 'Data Science', 'Data Management', 'Data Analysis', 'Data Mining']",2021-12-25 02:02:56
30,Data Analyst,Full-time,mClinica,Healthcare Services,Jakarta,Indonesia,11500000,9000000,14000000,1-4,1,4,"['MySQL', 'Python', 'Microsoft Excel']",2021-12-23 08:50:08
31,Data Engineer,Full-time,Hypefast,Ecommerce aggregators,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Scala', 'Java', 'Luigi', 'Cassandra', 'Python', 'NoSQL', 'Hadoop', 'Airflow', 'Apache']",2021-12-23 03:57:18
32,Data Science Expert,Contract,Genius Education,Education Tech,Jakarta,Indonesia,17500000,15000000,20000000,4-7,4,7,"['Javascript', 'PHP', 'HTML5 & CSS3', 'Python']",2021-12-22 10:40:55
33,Data Engineer,Full-time,PT Generasi Teknologi Buana,Tech Learning,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Databases', 'Javascript', 'Scala', 'Python', 'Data Science', 'Javascript Frameworks', 'Big Data', 'Maven', 'Spark']",2021-12-22 03:44:55
34,Data Manager,Full-time,Ajaib,Investment tools and platforms,Jakarta,Indonesia,0,0,0,4-7,4,7,"['Git', 'Data Visualization', 'Analytics', 'Analytics & Reporting', 'Data Science', 'SQL', 'Data Management', 'Big Data', 'A/B Testing', 'Google Analytics', 'Analytical Skills', 'Tableau', 'Data Analysis']",2021-12-20 06:27:32
35,Data Administration Officer,Full-time,PT Koltiva,Agriculture Tech,Makassar,Indonesia,0,0,0,1-4,1,4,"['Analytics & Reporting', 'Microsoft Excel', 'Data Analysis']",2021-12-19 22:00:50
36,Data Analyst,Full-time,PT Xapiens Teknologi Indonesia,IT & Cybersecurity,Tangerang,Indonesia,0,0,0,4-7,4,7,"['SAP', 'SQL Server', 'jQuery', 'SQL', 'PostgreSQL', 'Microsoft Excel', 'Business Intelligence', 'Tableau']",2021-12-17 03:59:06
37,Data Associate,Full-time,Aruna,Retail (food),Jakarta,Indonesia,0,0,0,1-4,1,4,"['SQL', 'Data Management', 'Data Analysis']",2021-12-16 09:06:02
38,Data Analyst,Full-time,KoinWorks,"Lending, loans, and credit",Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Warehouse', 'Data Visualization', 'Data Science', 'Data Management', 'Data Analysis']",2021-12-15 10:28:12
39,Database Administrator,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,4-7,4,7,"['MySQL', 'Databases', 'Technology', 'PHP', 'Programming', 'SQL', 'SDLC']",2021-12-15 07:06:27
40,Data Analyst,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Microsoft Office', 'Data Management', 'Communication Skills', 'Data Analysis']",2021-12-15 06:58:32
41,Data Scientist - Human Capital Information System,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['DBMS', 'Web Services', 'Human Resources']",2021-12-10 12:36:53
42,Data Analytics Officer ,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Science', 'Data Management', 'Data Analysis']",2021-12-10 12:33:46
43,Data Scientist,Full-time,kumparan.com,News,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Python', 'SQL', 'Machine Learning']",2021-12-10 10:39:41
44,Data Engineer Intern (Remote),Internship,Flip,Payments and remittance,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Databases', 'Data Warehouse', 'Programming', 'SQL']",2021-12-10 10:19:00
45,Data Analyst,Full-time,PT Wahana Semesta Ilmu,Lifestyle Businesses,Jakarta,Indonesia,10000000,8000000,12000000,0-1,0,1,"['Python', 'Microsoft Excel', 'Data Analysis']",2021-12-10 08:02:35
46,Data Engineer,Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,1-4,1,4,"['MySQL', 'Databases', 'Data Warehouse', 'Python', 'NoSQL', 'Big Data', 'Hadoop', 'Unix']",2021-12-10 02:10:04
47,Data Engineer,Full-time,CrediBook,Financial accounting and admin,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Warehouse', 'Data Science', 'Data Mining']",2021-12-09 09:42:32
48,Data Privacy Manager (Legal),Full-time,Halodoc ID,Health & Wellness,Jakarta,Indonesia,0,0,0,0-1,0,1,"['Data Management', 'Legal', 'Data Analysis']",2021-12-09 06:37:31
49,Data Analyst (Treasury Department),Full-time,Tokocrypto,Financial exchanges,Jakarta,Indonesia,10500000,8000000,13000000,1-4,1,4,"['MySQL', 'Python', 'Tableau']",2021-12-08 09:12:31
50,Data Analyst,Full-time,CrediBook,Financial accounting and admin,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Data Warehouse', 'Data Visualization', 'Data Analysis']",2021-12-06 08:43:14
51,Data Scientist,Full-time,PT Khazanah Prima Sukses,Enterprise Application,Indonesia Bulk Terminal,Indonesia,12500000,10000000,15000000,1-4,1,4,"['Natural Language Processing (NLP)', 'SQL', 'Machine Learning', 'Big Data']",2021-12-03 04:51:18
52,Data Support,Full-time,Chilibeli,Marketplaces (food),"Bandung, Java",Indonesia,5000000,4000000,6000000,1-4,1,4,"['Attention to Detail', 'Communication Skills', 'Data Analysis']",2021-11-30 04:51:00
53,Data Engineer,Full-time,Pasifik Satelit Nusantara,Telecommunications,Jakarta,Indonesia,7500000,5000000,10000000,0-1,0,1,"['MySQL', 'SQL Server', 'Python', 'Oracle']",2021-11-29 03:13:14
54,Data Operations Executive,Full-time,SIRCLO,Ecommerce seller tools and services,Tangerang,Indonesia,0,0,0,0-1,0,1,"['Analytics & Reporting', 'Microsoft Excel', 'Financial Analysis', 'Data Analysis']",2021-11-26 14:44:08
55,Data Engineer (ETL),Full-time,PT. Informasi Teknologi Indonesia,Service Providers,Indonesia Bulk Terminal,Indonesia,9000000,7000000,11000000,1-4,1,4,"['Data Warehouse', 'SQL Server', 'Python', 'Big Data', 'Data Analysis']",2021-11-26 08:50:11
56,Data Analyst,Full-time,Zuzu Hospitality Solutions,SaaS,Jakarta,Indonesia,7000000,6000000,8000000,1-4,1,4,"['Python', 'SQL', 'Tableau']",2021-11-24 11:37:32
57,Data Analyst,Full-time,Tokocrypto,Financial exchanges,Jakarta,Indonesia,10500000,8000000,13000000,1-4,1,4,"['MySQL', 'Communication Skills', 'Tableau']",2021-11-24 05:02:34
58,Data - Business Intelligence,Full-time,Halodoc ID,Health & Wellness,Jakarta,Indonesia,14500000,9000000,20000000,1-4,1,4,"['Statistics', 'Data Science', 'Software', 'Business Intelligence', 'Statistical Analysis']",2021-11-23 04:41:09
59,Database Administrator,Full-time,PT Generasi Teknologi Buana,Tech Learning,Jakarta,Indonesia,0,0,0,4-7,4,7,"['MySQL', 'Databases', 'Data Warehouse', 'Big Data', 'Data Analysis']",2021-11-22 04:26:08
60,Data Science Trainee,Full-time,Algoritma,Data Science,Jakarta,Indonesia,6500000,5000000,8000000,1-4,1,4,"['Technology', 'Programming', 'Python', 'Analytics & Reporting', 'Data Science', 'R']",2022-01-13 05:09:32
61,Data Scientist (English CV only),Full-time,Data Arts Xperience   ,Advertising Platforms,Jakarta,Indonesia,22500000,5000000,40000000,1-4,1,4,"['Data Science', 'Digital Marketing', 'Data Analysis']",2022-01-10 11:57:35
62,Data Engineer,Contract,InterconnectDATA,Big Data,"Bandung, Java",Indonesia,6000000,4500000,7500000,1-4,1,4,"['Data Warehouse', 'Scala', 'Python', 'R', 'Machine Learning', 'Hadoop', 'Business Intelligence', 'Tableau']",2021-12-14 08:04:48
63,Senior Data Engineer,Full-time,Bobobox Indonesia,Hotels & Accomodation,"Bandung, Java",Indonesia,0,0,0,4-7,4,7,"['Luigi', 'Cassandra', 'SQL', 'Hadoop', 'PostgreSQL', 'Airflow', 'Spark', 'MongoDB']",2022-01-13 09:37:15
64,Senior Data Analyst,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Technology', 'SQL']",2022-01-12 09:55:07
65,Senior Database Administrator,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Attention to Detail', 'Technology', 'Relational Databases', 'SQL', 'XML', 'Security', 'RDBMS']",2022-01-10 04:45:23
66,Senior Data Engineer,Full-time,Bina Nusantara Group,Education Tech,Jakarta,Indonesia,0,0,0,1-4,1,4,"['Databases', 'Technology', 'SQL', 'Software']",2022-01-07 11:44:47
